episode,return,length,timesteps
0,30.33867645263672,115,115
1,-1.5886311531066895,146,261
2,-1.093966007232666,341,602
3,-60.38003921508789,1790,2392
4,-0.002007555216550827,280,2672
5,-36.869747161865234,1784,4456
6,-5.289194583892822,443,4899
7,-1.549741506576538,388,5287
8,-0.010816574096679688,185,5472
9,-25.118267059326172,1587,7059
10,-0.01749887503683567,88,7147
11,-0.0438014455139637,124,7271
12,-0.043670620769262314,93,7364
13,-0.043160151690244675,98,7462
14,-29.11847496032715,1549,9011
15,-0.015850983560085297,107,9118
16,-0.04455395042896271,226,9344
17,-8.49399185180664,563,9907
18,-0.04470927268266678,178,10085
19,-0.043460290879011154,78,10163
