episode,return,length,timesteps
0,28.4825439453125,594,594
1,3.1409082412719727,322,916
2,-1.643500804901123,163,1079
3,-2.3241360187530518,807,1886
4,-5.2457990646362305,84,1970
5,-2.4431660175323486,99,2069
6,-2.260085344314575,122,2191
7,-0.7643022537231445,148,2339
8,-3.5375781059265137,200,2539
9,-94.71958923339844,1218,3757
10,-0.049392059445381165,118,3875
11,-0.04948243498802185,117,3992
12,-0.02126294933259487,168,4160
13,-15.868993759155273,1064,5224
14,-0.021195434033870697,111,5335
15,-28.08197593688965,1286,6621
16,-0.021727384999394417,85,6706
17,-0.018938923254609108,80,6786
18,-0.044109832495450974,142,6928
19,-24.235292434692383,1210,8138
20,-26.219879150390625,1377,9515
