episode,return,length,timesteps
0,43.3967170715332,244,244
1,-9.158672332763672,377,621
2,-5.195051193237305,1413,2034
3,-9.725170135498047,119,2153
4,-9.786528587341309,101,2254
5,3.519036293029785,831,3085
6,-8.018514633178711,403,3488
7,-9.866373062133789,123,3611
8,1.0268045663833618,440,4051
9,1.5708661079406738,536,4587
10,5.0572004318237305,574,5161
11,-0.4113779067993164,599,5760
12,-1.2293846607208252,647,6407
13,2.366037368774414,337,6744
14,1.4884339570999146,271,7015
15,-3.631216049194336,834,7849
16,2.261751174926758,289,8138
17,1.9333680868148804,295,8433
18,2.3857834339141846,310,8743
19,1.2841017246246338,283,9026
20,1.8738466501235962,240,9266
21,1.7474828958511353,258,9524
22,1.554909586906433,331,9855
23,1.1079782247543335,307,10162
