episode,return,length,timesteps
0,36.816612243652344,422,422
1,0.10953449457883835,60,482
2,0.11023028939962387,67,549
3,-6.852108001708984,357,906
4,-5.680328369140625,236,1142
5,-1.9606187343597412,228,1370
6,-6.391767501831055,304,1674
7,-6.357631683349609,300,1974
8,-6.608541965484619,342,2316
9,-3.894364356994629,246,2562
10,-6.433962345123291,596,3158
11,-2.608682155609131,619,3777
12,0.22157900035381317,151,3928
13,-4.196528434753418,391,4319
14,-5.570308685302734,216,4535
15,-4.229466915130615,297,4832
16,-3.1353094577789307,450,5282
17,-4.5543599128723145,298,5580
18,0.11806957423686981,70,5650
19,0.15879958868026733,80,5730
20,-3.697737216949463,338,6068
