episode,return,length,timesteps
0,65.57716369628906,336,336
1,25.21430206298828,493,829
2,13.797355651855469,425,1254
3,0.22982387244701385,50,1304
4,1.610027551651001,296,1600
5,15.641050338745117,549,2149
6,6.680496692657471,583,2732
7,2.7315354347229004,294,3026
8,6.460221767425537,389,3415
9,3.3144350051879883,229,3644
10,4.539388656616211,304,3948
11,10.843971252441406,445,4393
12,2.7989706993103027,248,4641
13,4.411113262176514,254,4895
14,3.0988352298736572,224,5119
15,5.9953484535217285,444,5563
16,12.312519073486328,526,6089
17,1.9627729654312134,237,6326
18,2.022057056427002,205,6531
19,0.8818058371543884,120,6651
20,5.775486469268799,288,6939
21,2.5532147884368896,210,7149
22,2.526768684387207,216,7365
