episode,return,length,timesteps
0,-3.274639368057251,372,372
1,-4.2795796394348145,267,639
2,-9.000861167907715,339,978
3,0.039641622453927994,131,1109
4,0.03818449005484581,128,1237
5,-14.049270629882812,524,1761
6,-2.1776578426361084,267,2028
7,-4.591986656188965,294,2322
8,-7.980615139007568,349,2671
9,-0.7102705240249634,226,2897
10,-6.339826583862305,264,3161
11,-1.2217596769332886,220,3381
12,-7.000473499298096,296,3677
13,-3.537952184677124,251,3928
14,-4.2848920822143555,232,4160
15,-6.365453243255615,260,4420
16,-4.749042987823486,298,4718
17,-8.717486381530762,208,4926
18,-8.882664680480957,645,5571
19,-6.376482009887695,280,5851
20,-8.560887336730957,219,6070
21,-13.035948753356934,219,6289
22,-4.657508373260498,229,6518
23,-5.064998626708984,233,6751
24,-4.0789103507995605,263,7014
25,-3.415823459625244,238,7252
26,-0.7216190099716187,180,7432
27,-8.4681978225708,215,7647
28,-5.114302158355713,272,7919
29,-4.794987678527832,282,8201
30,-7.907386779785156,200,8401
31,-1.70912766456604,199,8600
32,-4.993625640869141,215,8815
33,-4.886104583740234,216,9031
34,-5.653658390045166,216,9247
35,-5.292511463165283,289,9536
36,-1.667975902557373,261,9797
