episode,return,length,timesteps
0,35.09613800048828,144,144
1,6.82805061340332,112,256
2,-30.87885284423828,373,629
3,0.12750813364982605,207,836
4,-15.725154876708984,542,1378
5,-2.851346731185913,225,1603
6,-12.090754508972168,476,2079
7,-5.916274547576904,388,2467
8,0.023692460730671883,57,2524
9,0.033162955194711685,80,2604
10,0.10687465220689774,231,2835
11,0.04372557997703552,106,2941
12,0.051988959312438965,114,3055
13,-9.667762756347656,338,3393
14,-0.1122295930981636,370,3763
15,-14.891603469848633,542,4305
16,-2.1149113178253174,259,4564
17,0.09558121114969254,204,4768
18,-8.5985107421875,323,5091
19,0.05265052616596222,123,5214
20,-8.99581527709961,369,5583
21,0.2664077579975128,529,6112
22,0.11905042082071304,240,6352
23,0.1564086228609085,350,6702
24,0.08954580128192902,183,6885
25,0.06862243264913559,151,7036
26,0.09251898527145386,188,7224
27,0.09820389002561569,172,7396
28,0.16171006858348846,285,7681
29,0.12960603833198547,208,7889
30,0.06544779241085052,129,8018
31,0.15966586768627167,244,8262
32,0.10902496427297592,190,8452
33,0.043926138430833817,113,8565
34,0.09250239282846451,515,9080
35,0.12130728363990784,216,9296
36,0.1464356929063797,250,9546
37,0.022971512749791145,48,9594
38,0.022062215954065323,44,9638
39,0.03504880517721176,75,9713
40,0.0314069464802742,61,9774
41,0.04784763604402542,87,9861
42,0.2423374056816101,371,10232
43,0.06650110334157944,131,10363
44,0.019693497568368912,34,10397
45,0.020394492894411087,36,10433
46,0.018886979669332504,30,10463
47,0.020928021520376205,37,10500
48,0.01827830821275711,28,10528
49,0.01993515156209469,33,10561
50,0.019968871027231216,33,10594
51,0.01984383538365364,32,10626
52,0.02025172859430313,32,10658
53,0.019737349823117256,30,10688
54,0.020445050671696663,35,10723
55,0.018617430701851845,29,10752
56,0.01866145059466362,28,10780
57,0.01791469007730484,26,10806
58,0.017893142998218536,26,10832
59,0.018235236406326294,27,10859
60,0.018619989976286888,27,10886
61,0.019156066700816154,27,10913
62,0.01982455514371395,27,10940
63,0.018231051042675972,26,10966
64,0.01950588822364807,30,10996
65,0.021794311702251434,34,11030
66,0.021241944283246994,33,11063
67,0.020023830235004425,31,11094
68,0.01938740536570549,28,11122
69,0.019686227664351463,29,11151
70,0.021537169814109802,30,11181
71,0.020335456356406212,28,11209
72,0.023323677480220795,32,11241
73,0.0214433204382658,30,11271
74,0.020416634157299995,28,11299
75,0.022165518254041672,32,11331
76,0.02293320558965206,33,11364
77,0.024379635229706764,35,11399
78,0.022687599062919617,32,11431
79,0.022200848907232285,32,11463
80,0.022072292864322662,32,11495
81,0.022952018305659294,33,11528
82,0.022820990532636642,32,11560
83,0.021763043478131294,31,11591
84,0.02270999737083912,32,11623
85,0.02387269400060177,34,11657
86,0.024004707112908363,36,11693
87,0.023758143186569214,36,11729
88,0.023662744089961052,35,11764
89,0.026916353031992912,42,11806
90,0.024253400042653084,39,11845
91,0.024079766124486923,38,11883
92,0.026350826025009155,44,11927
93,0.02298114262521267,37,11964
94,0.024495955556631088,41,12005
95,0.02566605620086193,45,12050
96,0.02575722336769104,46,12096
97,0.035109441727399826,66,12162
